,open,high,low,close,adjclose,volume,ticker,date,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2016-12-22,768.1199951171875,771.2100219726562,763.02001953125,766.3400268554688,766.3400268554688,2543600,AMZN,2016-12-22,18.741495,12.25,0.0,754.0900268554688
2016-12-23,764.5499877929688,766.5,757.989990234375,760.5900268554688,760.5900268554688,1981600,AMZN,2016-12-23,26.74911,16.75,0.0,743.8400268554688
2016-12-27,763.4000244140625,774.6500244140625,761.2000122070312,771.4000244140625,771.4000244140625,2638700,AMZN,2016-12-27,262.59216,245.17999267578122,0.0,526.2200317382812
2016-12-28,776.25,780.0,770.5,772.1300048828125,772.1300048828125,3301000,AMZN,2016-12-28,666.3118,633.7899780273438,0.0,138.34002685546875
2016-12-29,772.4000244140625,773.4000244140625,760.8499755859375,765.1500244140625,765.1500244140625,3158300,AMZN,2016-12-29,70.82051,66.0,0.0,699.1500244140625
2016-12-30,766.469970703125,767.4000244140625,748.280029296875,749.8699951171875,749.8699951171875,4139400,AMZN,2016-12-30,23.794882,19.61000061035156,0.0,730.2599945068359
2017-01-03,757.9199829101562,758.760009765625,747.7000122070312,753.6699829101562,753.6699829101562,3521100,AMZN,2017-01-03,14.751299,6.984375,0.0,746.6856079101562
2017-01-04,758.3900146484375,759.6799926757812,754.2000122070312,757.1799926757812,757.1799926757812,2510500,AMZN,2017-01-04,58.147896,62.34999847412109,0.0,694.8299942016602
2017-01-05,761.5499877929688,782.4000244140625,760.260009765625,780.4500122070312,780.4500122070312,5830100,AMZN,2017-01-05,2115.3325,1975.8299560546875,1195.3799438476562,0.0
2017-01-06,782.3599853515625,799.4400024414062,778.47998046875,795.989990234375,795.989990234375,5986200,AMZN,2017-01-06,74.10695,66.875,0.0,729.114990234375
2017-01-09,798.0,801.77001953125,791.77001953125,796.9199829101562,796.9199829101562,3446100,AMZN,2017-01-09,269.47974,244.99000549316412,0.0,551.9299774169922
2017-01-10,796.5999755859375,798.0,789.5399780273438,795.9000244140625,795.9000244140625,2558400,AMZN,2017-01-10,39.60552,32.59000015258789,0.0,763.3100242614746
2017-01-11,793.6599731445312,799.5,789.510009765625,799.02001953125,799.02001953125,2992800,AMZN,2017-01-11,577.352,602.0800170898438,0.0,196.94000244140625
2017-01-12,800.3099975585938,814.1300048828125,799.5,813.6400146484375,813.6400146484375,4873900,AMZN,2017-01-12,42.0989,34.630001068115234,0.0,779.0100135803223
2017-01-13,814.3200073242188,821.6500244140625,811.4000244140625,817.1400146484375,817.1400146484375,3791900,AMZN,2017-01-13,1627.747,1377.449951171875,560.3099365234375,0.0
2017-01-17,815.7000122070312,816.0,803.4400024414062,809.719970703125,809.719970703125,3670500,AMZN,2017-01-17,83.44205,74.11000061035156,0.0,735.6099700927734
2017-01-18,809.5,811.72998046875,804.27001953125,807.47998046875,807.47998046875,2354200,AMZN,2017-01-18,32.35287,22.18000030517578,0.0,785.2999801635742
2017-01-19,810.0,813.510009765625,807.3200073242188,809.0399780273438,809.0399780273438,2540800,AMZN,2017-01-19,29.320581,22.15999984741211,0.0,786.8799781799316
2017-01-20,815.280029296875,816.02001953125,806.260009765625,808.3300170898438,808.3300170898438,3376200,AMZN,2017-01-20,3283.3035,3268.949951171875,2460.6199340820312,0.0
2017-01-23,806.7999877929688,818.5,805.0800170898438,817.8800048828125,817.8800048828125,2797500,AMZN,2017-01-23,582.89087,482.0700073242187,0.0,335.8099975585938
2017-01-24,822.0,823.989990234375,814.5,822.4400024414062,822.4400024414062,2971700,AMZN,2017-01-24,99.10408,95.22000122070312,0.0,727.2200012207031
2017-01-25,825.7899780273438,837.4199829101562,825.2899780273438,836.52001953125,836.52001953125,3922600,AMZN,2017-01-25,1787.5878,1777.4300537109375,940.9100341796875,0.0
2017-01-26,835.530029296875,843.8400268554688,833.0,839.1500244140625,839.1500244140625,3586300,AMZN,2017-01-26,177.31339,165.32000732421875,0.0,673.8300170898438
2017-01-27,839.0,839.7000122070312,829.4400024414062,835.77001953125,835.77001953125,2998700,AMZN,2017-01-27,57.787098,49.209999084472656,0.0,786.5600204467773
2017-01-30,833.0,833.5,816.3800048828125,830.3800048828125,830.3800048828125,3747300,AMZN,2017-01-30,235.9521,233.7799987792969,0.0,596.6000061035156
2017-01-31,823.75,826.989990234375,819.5599975585938,823.47998046875,823.47998046875,3137200,AMZN,2017-01-31,73.33825,56.04000091552735,0.0,767.4399795532227
2017-02-01,829.2100219726562,833.780029296875,824.9400024414062,832.3499755859375,832.3499755859375,3850200,AMZN,2017-02-01,85.06353,79.13999938964845,0.0,753.2099761962891
2017-02-02,836.5900268554688,842.489990234375,828.260009765625,839.9500122070312,839.9500122070312,7350500,AMZN,2017-02-02,271.06595,264.2699890136719,0.0,575.6800231933594
2017-02-03,806.719970703125,818.2999877929688,804.0,810.2000122070312,810.2000122070312,10868800,AMZN,2017-02-03,54.88632,50.09000015258789,0.0,760.1100120544434
2017-02-06,809.7999877929688,810.719970703125,803.0,807.6400146484375,807.6400146484375,3897300,AMZN,2017-02-06,319.75296,324.1600036621094,0.0,483.4800109863281
2017-02-07,809.3099975585938,816.1599731445312,807.5,812.5,812.5,3466100,AMZN,2017-02-07,1825.8488,1883.4200439453127,1070.9200439453127,0.0
2017-02-08,812.6900024414062,821.47998046875,812.5,819.7100219726562,819.7100219726562,2858000,AMZN,2017-02-08,78.10314,69.66999816894531,0.0,750.0400238037109
2017-02-09,821.5999755859375,825.0,819.7100219726562,821.3599853515625,821.3599853515625,2484900,AMZN,2017-02-09,589.74677,579.8699951171875,0.0,241.489990234375
2017-02-10,823.8200073242188,828.0,822.8499755859375,827.4600219726562,827.4600219726562,2429600,AMZN,2017-02-10,47.100395,40.41999816894531,0.0,787.0400238037109
2017-02-13,831.6199951171875,843.0,828.5499877929688,836.530029296875,836.530029296875,4172600,AMZN,2017-02-13,153.24333,130.92999267578125,0.0,705.6000366210938
2017-02-14,837.0,838.3099975585938,831.4500122070312,836.3900146484375,836.3900146484375,2792400,AMZN,2017-02-14,76.83525,73.3499984741211,0.0,763.0400161743164
2017-02-15,834.0,842.8099975585938,832.8200073242188,842.7000122070312,842.7000122070312,2968900,AMZN,2017-02-15,49.399097,35.310001373291016,0.0,807.3900108337402
2017-02-16,841.8400268554688,845.0,839.3800048828125,844.1400146484375,844.1400146484375,2714700,AMZN,2017-02-16,189.73808,195.0399932861328,0.0,649.1000213623047
2017-02-17,842.0,847.27001953125,840.72998046875,845.0700073242188,845.0700073242188,3112300,AMZN,2017-02-17,1795.5642,1760.68994140625,915.6199340820312,0.0
2017-02-21,848.8400268554688,857.97998046875,847.25,856.4400024414062,856.4400024414062,3507700,AMZN,2017-02-21,34.661095,53.54166793823242,0.0,802.8983345031738
2017-02-22,856.9500122070312,858.4299926757812,852.1799926757812,855.6099853515625,855.6099853515625,2617000,AMZN,2017-02-22,131.86163,128.8300018310547,0.0,726.7799835205078
2017-02-23,857.5700073242188,860.8599853515625,848.0,852.1900024414062,852.1900024414062,3462000,AMZN,2017-02-23,65.25804,51.75,0.0,800.4400024414062
2017-02-24,844.6900024414062,845.8099975585938,837.75,845.239990234375,845.239990234375,3688000,AMZN,2017-02-24,39.432404,37.68000030517578,0.0,807.5599899291992
2017-02-27,842.3800048828125,852.5,839.6699829101562,848.6400146484375,848.6400146484375,2713600,AMZN,2017-02-27,532.60175,608.6099853515625,0.0,240.030029296875
2017-02-28,851.4500122070312,854.0900268554688,842.0499877929688,845.0399780273438,845.0399780273438,2793700,AMZN,2017-02-28,15.164065,7.5833330154418945,0.0,837.4566450119019
2017-03-01,853.0499877929688,854.8300170898438,849.010009765625,853.0800170898438,853.0800170898438,2760100,AMZN,2017-03-01,27.23744,20.40999984741211,0.0,832.6700172424316
2017-03-02,853.0800170898438,854.8200073242188,847.280029296875,848.9099731445312,848.9099731445312,2132100,AMZN,2017-03-02,135.06621,122.55000305175778,0.0,726.3599700927734
2017-03-03,847.2000122070312,851.989990234375,846.27001953125,849.8800048828125,849.8800048828125,1941100,AMZN,2017-03-03,33.166306,30.95999908447266,0.0,818.9200057983398
2017-03-06,845.22998046875,848.489990234375,841.1199951171875,846.6099853515625,846.6099853515625,2610400,AMZN,2017-03-06,46.029945,37.5625,0.0,809.0474853515625
2017-03-07,845.47998046875,848.4600219726562,843.75,846.02001953125,846.02001953125,2247600,AMZN,2017-03-07,56.27858,30.874999999999996,0.0,815.14501953125
2017-03-08,848.0,853.0700073242188,846.7899780273438,850.5,850.5,2286500,AMZN,2017-03-08,278.87436,308.69000244140625,0.0,541.8099975585938
